beechnut,time
0,0.00017703
0,0.00228685
0,0.00795869
0,0.0252869
0,0.0417015
0,0.0579921
0,0.0727474
0,0.0894169
0,0.107499
0,0.122607
0,0.139242
0,0.156309
0,0.172793
0,0.190995
0,0.206381
0,0.224243
0,0.24091
0,0.257111
0,0.27296
0,0.289434
0,0.307643
0,0.32417
0,0.339413
0,0.356864
0,0.373329
0,0.389207
0,0.407485
0,0.42348
0,0.439694
0,0.457616
0,0.4727
0,0.490683
0,0.506531
0,0.522848
0,0.53985
0,0.557078
0,0.572874
0,0.589147
0,0.606275
0,0.623978
0,0.640781
0,0.656072
0,0.674147
0,0.689799
0,0.706205
0,0.72339
0,0.741292
0,0.757614
0,0.772862
0,0.790815
0,0.806547
0,0.822642
0,0.840163
0,0.856275
0,0.872584
0,0.890084
0,0.906354
0,0.922474
0,0.94024
0,0.95619
0,0.972701
0,0.990753
0,1.00624
0,1.02281
0,1.03937
0,1.05705
0,1.07269
0,1.09072
0,1.1063
0,1.12471
0,1.13989
0,1.15769
0,1.17249
0,1.19002
0,1.20797
0,1.22245
0,1.2398
0,1.25731
0,1.27261
0,1.2914
0,1.30705
0,1.32297
0,1.34153
0,1.35637
0,1.37359
0,1.38933
0,1.40682
0,1.42265
0,1.44165
0,1.45683
0,1.47405
0,1.48985
0,1.50705
0,1.52462
0,1.54041
0,1.5572
0,1.57256
0,1.59104
0,1.60648
0,1.62432
0,1.64036
0,1.65602
0,1.67437
0,1.68985
0,1.70769
0,1.72253
0,1.73925
0,1.75587
0,1.77265
0,1.79031
0,1.80623
0,1.82421
0,1.8398
0,1.85804
0,1.87368
0,1.8898
0,1.9074
0,1.92297
0,1.94009
0,1.95607
0,1.97432
0,1.98938
0,2.00734
0,2.02271
0,2.03926
0,2.05743
0,2.07342
0,2.08947
0,2.10801
0,2.12312
0,2.14025
0,2.15648
0,2.17445
0,2.1905
0,2.20728
0,2.22415
0,2.23957
0,2.25681
8.29677,2.27351
8.29677,2.29007
8.29677,2.306
8.29677,2.32279
8.29677,2.34041
8.29677,2.35677
8.29677,2.37473
8.29677,2.39033
8.29677,2.40621
8.29677,2.42284
8.29677,2.43988
8.29677,2.45712
8.29677,2.47305
8.29677,2.48966
8.29677,2.50736
8.29677,2.52297
8.29677,2.53989
8.29677,2.55722
8.29677,2.57351
8.29677,2.58914
8.29677,2.60686
8.29677,2.62293
8.29677,2.63955
8.29677,2.65675
8.29677,2.67397
8.29677,2.68968
8.29677,2.70626
8.29677,2.72383
8.29677,2.73989
8.29677,2.75687
8.29677,2.77414
8.29677,2.79039
8.29677,2.80813
8.29677,2.82378
8.29677,2.83965
8.29677,2.85617
8.29677,2.8734
8.29677,2.89041
8.29677,2.90636
8.29677,2.92288
8.29677,2.94048
8.29677,2.95647
8.29677,2.97354
8.29677,2.9914
8.29677,3.00766
8.29677,3.02366
8.29677,3.03971
8.29677,3.05783
8.29677,3.07357
8.29677,3.08981
8.29677,3.10735
8.29677,3.12302
8.29677,3.13991
8.29677,3.15729
8.29677,3.17376
8.29677,3.19061
8.29677,3.20594
8.29677,3.22322
8.29677,3.23914
8.29677,3.25764
8.29677,3.2737
8.29677,3.2895
8.29677,3.30809
8.29677,3.32342
8.29677,3.34041
8.29677,3.35601
8.29677,3.37384
8.29677,3.39163
8.29677,3.40635
8.29677,3.42391
8.29677,3.44113
8.29677,3.45643
8.29677,3.47278
8.29677,3.49062
8.29677,3.50636
8.29677,3.52249
8.29677,3.53994
8.29677,3.55677
8.29677,3.57432
8.29677,3.58993
8.29677,3.6076
8.29677,3.62473
8.29677,3.63993
8.29677,3.65744
8.29677,3.6729
8.29677,3.68931
8.29677,3.7074
8.29677,3.72292
8.29677,3.74145
8.29677,3.75666
8.29677,3.77351
8.29677,3.7911
8.29677,3.80667
8.29677,3.82447
8.29677,3.83918
8.29677,3.85649
8.29677,3.87385
8.29677,3.88983
8.29677,3.90597
8.29677,3.92404
8.29677,3.93953
8.29677,3.95813
8.29677,3.97345
8.29677,3.99076
8.29677,4.00639
8.29677,4.02421
8.29677,4.03933
8.29677,4.05688
8.29677,4.07442
8.29677,4.08958
8.29677,4.10602
8.29677,4.1239
8.29677,4.13954
8.29677,4.15764
8.29677,4.17381
8.29677,4.19142
8.29677,4.20594
8.29677,4.22378
8.29677,4.23959
8.29677,4.25666
8.29677,4.27405
8.29677,4.28939
8.29677,4.30668
8.29677,4.32264
8.29677,4.34098
8.29677,4.35674
8.29677,4.37258
8.29677,4.39065
8.29677,4.40821
8.29677,4.42256
9.20652,4.44053
9.20652,4.45624
9.20652,4.47315
9.20652,4.49064
9.20652,4.50814
9.20652,4.52329
9.20652,4.53943
9.20652,4.55755
9.20652,4.57332
9.20652,4.59147
9.20652,4.60751
9.20652,4.62247
9.20652,4.63958
9.20652,4.65742
9.20652,4.67293
9.20652,4.68996
9.20652,4.70738
9.20652,4.72481
9.20652,4.74001
9.20652,4.75593
9.20652,4.77419
9.20652,4.79017
9.20652,4.80817
9.20652,4.82428
9.20652,4.83941
9.20652,4.85596
9.20652,4.87397
9.20652,4.88965
9.20652,4.90731
9.20652,4.92258
9.20652,4.93942
9.20652,4.95713
9.20652,4.97252
9.20652,4.99153
9.20652,5.0072
9.20652,5.02295
9.20652,5.04139
9.20652,5.05613
9.20652,5.07314
9.20652,5.09092
9.20652,5.10655
9.20652,5.12276
9.20652,5.14147
9.20652,5.15637
9.20652,5.17424
9.20652,5.18928
9.20652,5.20592
9.20652,5.22257
9.20652,5.24039
9.20652,5.25588
9.20652,5.27327
9.20652,5.29032
9.20652,5.30676
9.20652,5.3248
9.20652,5.34086
9.20652,5.35739
9.20652,5.37467
9.20652,5.38965
9.20652,5.4068
9.20652,5.4233
9.20652,5.43979
9.20652,5.4577
9.20652,5.47304
9.20652,5.48958
9.20652,5.50758
9.20652,5.52358
9.20652,5.54154
9.20652,5.55754
9.20652,5.57404
9.20652,5.59077
9.20652,5.60598
9.20652,5.62297
9.20652,5.63935
9.20652,5.65588
9.20652,5.67377
9.20652,5.68919
9.20652,5.70669
9.20652,5.7237
9.20652,5.73937
9.20652,5.75708
9.20652,5.77307
9.20652,5.78955
9.20652,5.80632
9.20652,5.82405
9.20652,5.83923
9.20652,5.85784
9.20652,5.87368
9.20652,5.8894
9.20652,5.90765
9.20652,5.92252
9.20652,5.9394
9.20652,5.95724
9.20652,5.97283
9.20652,5.99015
9.20652,6.00755
9.20652,6.02312
9.20652,6.04033
9.20652,6.05606
9.20652,6.07446
9.20652,6.09014
9.20652,6.1082
9.20652,6.12414
9.20652,6.13968
9.20652,6.15627
9.20652,6.17432
9.20652,6.19
9.20652,6.20599
9.20652,6.22452
9.20652,6.23943
9.20652,6.25709
9.20652,6.27252
9.20652,6.29141
9.20652,6.3069
9.20652,6.32302
9.20652,6.3415
9.20652,6.35636
9.20652,6.37363
9.20652,6.38942
9.20652,6.40716
9.20652,6.42308
9.20652,6.43934
9.20652,6.45631
9.20652,6.47398
9.20652,6.48936
9.20652,6.50824
9.20652,6.52384
9.20652,6.53964
9.20652,6.55759
9.20652,6.57258
9.20652,6.58964
9.22976,6.60743
9.22976,6.62313
9.22976,6.64051
9.22976,6.65757
9.22976,6.67502
9.22976,6.69007
9.22976,6.70589
9.22976,6.72424
9.22976,6.74005
9.22976,6.75784
9.22976,6.77401
9.22976,6.78941
9.22976,6.80596
9.22976,6.82392
9.22976,6.83935
9.22976,6.85637
9.22976,6.87378
9.22976,6.89111
9.22976,6.90641
9.22976,6.92267
9.22976,6.94054
9.22976,6.95634
9.22976,6.97426
9.22976,6.99049
9.22976,7.00785
9.22976,7.02294
9.22976,7.04056
9.22976,7.05608
9.22976,7.07324
9.22976,7.09068
9.22976,7.10838
9.22976,7.12353
9.22976,7.13939
9.22976,7.15782
9.22976,7.17357
9.22976,7.1893
9.22976,7.20758
9.22976,7.2231
9.22976,7.23972
9.22976,7.25746
9.22976,7.27302
9.22976,7.28983
9.22976,7.30713
9.22976,7.32437
9.22976,7.33947
9.22976,7.35654
9.22976,7.37306
9.22976,7.39068
9.22976,7.40653
9.22976,7.42457
9.22976,7.44003
9.22976,7.45697
9.22976,7.47266
9.22976,7.49031
9.22976,7.50768
9.22976,7.52444
9.22976,7.53965
9.22976,7.55682
9.22976,7.57257
9.22976,7.59086
9.22976,7.60676
9.22976,7.62447
9.22976,7.64042
9.22976,7.6582
9.22976,7.67284
9.22976,7.69024
9.22976,7.70687
9.22976,7.7231
9.22976,7.7399
9.22976,7.75723
9.22976,7.77358
9.22976,7.79124
9.22976,7.80667
9.22976,7.82491
9.22976,7.84029
9.22976,7.85601
9.22976,7.87344
9.22976,7.89114
9.22976,7.90768
9.22976,7.92507
9.22976,7.94082
9.22976,7.95765
9.22976,7.97296
9.22976,7.99158
9.22976,8.00714
9.22976,8.02489
9.22976,8.04064
9.22976,8.05608
9.22976,8.0742
9.22976,8.08951
9.22976,8.10729
9.22976,8.12396
9.22976,8.14161
9.22976,8.15742
9.22976,8.17416
9.22976,8.18953
9.22976,8.2079
9.22976,8.22351
9.22976,8.24122
9.22976,8.25703
9.22976,8.27257
9.22976,8.29021
9.22976,8.30723
9.22976,8.32308
9.22976,8.34007
9.22976,8.35731
9.22976,8.37307
9.22976,8.38971
9.22976,8.40711
9.22976,8.4233
9.22976,8.44089
9.22976,8.45647
9.22976,8.47432
9.22976,8.49071
9.22976,8.50755
9.22976,8.52281
9.22976,8.54003
9.22976,8.55617
9.22976,8.57454
9.22976,8.59008
9.22976,8.60821
9.22976,8.62294
9.22976,8.64011
9.22976,8.65788
9.22976,8.67339
9.22976,8.69005
9.22976,8.70745
9.22976,8.72492
9.22976,8.74007
9.22976,8.75612
9.26504,8.77442
9.26504,8.78995
9.26504,8.8076
9.26504,8.82356
9.26504,8.84101
9.26504,8.85821
9.26504,8.87402
9.26504,8.88962
9.26504,8.90649
9.26504,8.92374
9.26504,8.94098
9.26504,8.95624
9.26504,8.97268
9.26504,8.99081
9.26504,9.00621
9.26504,9.02401
9.26504,9.04012
9.26504,9.05768
9.26504,9.07491
9.26504,9.09036
9.26504,9.10828
9.26504,9.12286
9.26504,9.14018
9.26504,9.15757
9.26504,9.17261
9.26504,9.18988
9.26504,9.20618
9.26504,9.22388
9.26504,9.2395
9.26504,9.25754
9.26504,9.27303
9.26504,9.29
9.26504,9.30793
9.26504,9.32353
9.26504,9.34099
9.26504,9.35771
9.26504,9.37305
9.26504,9.39023
9.26504,9.40606
9.26504,9.42439
9.26504,9.4402
9.26504,9.45789
9.26504,9.47362
9.26504,9.49122
9.26504,9.5066
9.26504,9.5234
9.26504,9.53989
9.26504,9.55613
9.26504,9.57299
9.26504,9.59053
9.26504,9.60701
9.26504,9.62461
9.26504,9.64007
9.26504,9.65613
9.26504,9.67384
9.26504,9.6896
9.26504,9.70696
9.26504,9.72454
9.26504,9.74112
9.26504,9.75847
9.26504,9.77415
9.26504,9.79097
9.26504,9.80615
9.26504,9.82457
9.26504,9.84027
9.26504,9.85778
9.26504,9.87353
9.26504,9.88975
9.26504,9.90689
9.26504,9.92398
9.26504,9.93986
9.26504,9.95678
9.26504,9.97409
9.26504,9.99012
9.26504,10.0068
9.26504,10.0241
9.26504,10.0404
9.26504,10.0582
9.26504,10.0738
9.26504,10.0896
9.26504,10.1079
9.26504,10.1228
9.26504,10.1398
9.26504,10.1569
9.26504,10.1731
9.26504,10.1916
9.26504,10.2071
9.26504,10.2251
9.26504,10.2401
9.26504,10.2572
9.26504,10.2729
9.26504,10.2908
9.26504,10.3065
9.26504,10.3228
9.26504,10.3397
9.26504,10.3572
9.26504,10.3728
9.26504,10.3919
9.26504,10.4074
9.26504,10.4229
9.26504,10.4408
9.26504,10.4562
9.26504,10.4728
9.26504,10.4906
9.26504,10.5061
9.26504,10.5229
9.26504,10.5402
9.26504,10.5575
9.26504,10.5729
9.26504,10.5897
9.26504,10.6064
9.26504,10.6242
9.26504,10.6399
9.26504,10.6561
9.26504,10.6737
9.26504,10.6907
9.26504,10.707
9.26504,10.7246
9.26504,10.7398
9.26504,10.7562
9.26504,10.7734
9.26504,10.7908
9.26504,10.8064
9.26504,10.8226
9.26504,10.8404
9.26504,10.8583
9.26504,10.8741
9.26504,10.8894
9.26504,10.9064
9.276,10.9244
9.276,10.9399
9.276,10.9573
9.276,10.974
9.276,10.9896
9.276,11.0069
9.276,11.0226
9.276,11.0411
9.276,11.0568
9.276,11.0744
9.276,11.0903
9.276,11.1079
9.276,11.1237
9.276,11.1402
9.276,11.1567
9.276,11.1732
9.276,11.1898
9.276,11.2073
9.276,11.2232
9.276,11.2394
9.276,11.2571
9.276,11.2729
9.276,11.2906
9.276,11.3062
9.276,11.324
9.276,11.3396
9.276,11.3564
9.276,11.3727
9.276,11.3911
9.276,11.4078
9.276,11.423
9.276,11.4412
9.276,11.4568
9.276,11.4743
9.276,11.4901
9.276,11.5064
9.276,11.5234
9.276,11.5405
9.276,11.5563
9.276,11.573
9.276,11.5902
9.276,11.6079
9.276,11.623
9.276,11.6398
9.276,11.6581
9.276,11.6739
9.276,11.6894
9.276,11.7073
9.276,11.7234
9.276,11.7402
9.276,11.758
9.276,11.7729
9.276,11.792
9.276,11.8074
9.276,11.823
9.276,11.8407
9.276,11.8583
9.276,11.8728
9.276,11.8908
9.276,11.9063
9.276,11.9227
9.276,11.9398
9.276,11.9572
9.276,11.9744
9.276,11.9899
9.276,12.0062
9.276,12.0239
9.276,12.0416
9.276,12.0572
9.276,12.075
9.276,12.0896
9.276,12.1072
9.276,12.124
9.276,12.1399
9.276,12.1566
9.276,12.1739
9.276,12.1904
9.276,12.2084
9.276,12.2236
9.276,12.2416
9.276,12.2568
9.276,12.2746
9.276,12.2898
9.276,12.3077
9.276,12.3245
9.276,12.3416
9.276,12.3571
9.276,12.3739
9.276,12.3912
9.276,12.4075
9.276,12.4232
9.276,12.4407
9.276,12.4566
9.276,12.4749
9.276,12.4898
9.276,12.5069
9.276,12.5227
9.276,12.5395
9.276,12.5564
9.276,12.5742
9.276,12.5894
9.276,12.6069
9.276,12.624
9.276,12.6399
9.276,12.6578
9.276,12.6734
9.276,12.6894
9.276,12.7063
9.276,12.7239
9.276,12.7393
9.276,12.758
9.276,12.7735
9.276,12.7911
9.276,12.8068
9.276,12.8242
9.276,12.8409
9.276,12.8564
9.276,12.874
9.276,12.891
9.276,12.9078
9.276,12.9229
9.276,12.9402
9.276,12.9565
9.276,12.9738
9.276,12.9897
9.276,13.0071
9.276,13.0228
9.276,13.0404
9.276,13.0563
9.3095,13.0727
9.3095,13.0898
9.3095,13.1073
9.3095,13.1239
9.3095,13.1412
9.3095,13.1576
9.3095,13.1731
9.3095,13.1904
9.3095,13.2062
9.3095,13.2243
9.3095,13.2415
9.3095,13.2565
9.3095,13.2736
9.3095,13.2897
9.3095,13.308
9.3095,13.3236
9.3095,13.3414
9.3095,13.3564
9.3095,13.3734
9.3095,13.3917
9.3095,13.407
9.3095,13.4237
9.3095,13.4408
9.3095,13.4584
9.3095,13.4735
9.3095,13.4895
9.3095,13.5075
9.3095,13.523
9.3095,13.5407
9.3095,13.5565
9.3095,13.574
9.3095,13.591
9.3095,13.6066
9.3095,13.6241
9.3095,13.6411
9.3095,13.6581
9.3095,13.6732
9.3095,13.6905
9.3095,13.706
9.3095,13.7242
9.3095,13.7399
9.3095,13.7572
9.3095,13.773
9.3095,13.7905
9.3095,13.8063
9.3095,13.823
9.3095,13.84
9.3095,13.8574
9.3095,13.8741
9.3095,13.8914
9.3095,13.9077
9.3095,13.9234
9.3095,13.9407
9.3095,13.9566
9.3095,13.9749
9.3095,13.9899
9.3095,14.0069
9.3095,14.0228
9.3095,14.0405
9.3095,14.0563
9.3095,14.0739
9.3095,14.0917
9.3095,14.1067
9.3095,14.1237
9.3095,14.1396
9.3095,14.157
9.3095,14.1733
9.3095,14.1904
9.3095,14.2078
9.3095,14.2228
9.3095,14.24
9.3095,14.2583
9.3095,14.2739
9.3095,14.2913
9.3095,14.3068
9.3095,14.3244
9.3095,14.3399
9.3095,14.3566
9.3095,14.3736
9.3095,14.3909
9.3095,14.4075
9.3095,14.4247
9.3095,14.4411
9.3095,14.4568
9.3095,14.4741
9.3095,14.4898
9.3095,14.5079
9.3095,14.523
9.3095,14.5404
9.3095,14.5562
9.3095,14.5733
9.3095,14.5903
9.3095,14.6079
9.3095,14.623
9.3095,14.6398
9.3095,14.6562
9.3095,14.674
9.3095,14.6917
9.3095,14.7072
9.3095,14.7231
9.3095,14.74
9.3095,14.7578
9.3095,14.7728
9.3095,14.792
9.3095,14.8074
9.3095,14.823
9.3095,14.8407
9.3095,14.8584
9.3095,14.8729
9.3095,14.8908
9.3095,14.9062
9.3095,14.9232
9.3095,14.9396
9.3095,14.9571
9.3095,14.9744
9.3095,14.9899
9.3095,15.0064
9.3095,15.0238
9.3095,15.0418
9.3095,15.0574
9.3095,15.0727
9.3095,15.0896
9.3095,15.1074
9.3095,15.1234
9.3095,15.1417
9.3095,15.1584
9.3095,15.1733
9.3095,15.1918
9.34169,15.2072
9.34169,15.2244
9.34169,15.2401
9.34169,15.258
9.34169,15.2731
9.34169,15.2904
9.34169,15.3062
9.34169,15.3232
9.34169,15.34
9.34169,15.3577
9.34169,15.3734
9.34169,15.3902
9.34169,15.4072
9.34169,15.423
9.34169,15.4401
9.34169,15.4564
9.34169,15.4736
9.34169,15.491
9.34169,15.5062
9.34169,15.5234
9.34169,15.5397
9.34169,15.557
9.34169,15.5747
9.34169,15.5904
9.34169,15.608
9.34169,15.6238
9.34169,15.6407
9.34169,15.6563
9.34169,15.6733
9.34169,15.6897
9.34169,15.7071
9.34169,15.723
9.34169,15.7412
9.34169,15.7562
9.34169,15.7738
9.34169,15.7897
9.34169,15.8067
9.34169,15.824
9.34169,15.84
9.34169,15.8567
9.34169,15.8737
9.34169,15.8911
9.34169,15.9065
9.34169,15.9231
9.34169,15.9412
9.34169,15.957
9.34169,15.9742
9.34169,15.99
9.34169,16.008
9.34169,16.0234
9.34169,16.0406
9.34169,16.0563
9.34169,16.0744
9.34169,16.0896
9.34169,16.107
9.34169,16.1244
9.34169,16.1397
9.34169,16.1568
9.34169,16.1748
9.34169,16.19
9.34169,16.207
9.34169,16.2233
9.34169,16.2407
9.34169,16.2566
9.34169,16.2742
9.34169,16.2913
9.34169,16.3067
9.34169,16.325
9.34169,16.3397
9.34169,16.3566
9.34169,16.3729
9.34169,16.3895
9.34169,16.4064
9.34169,16.4238
9.34169,16.4417
9.34169,16.4565
9.34169,16.4735
9.34169,16.4896
9.34169,16.5068
9.34169,16.5228
9.34169,16.54
9.34169,16.5574
9.34169,16.5751
9.34169,16.59
9.34169,16.608
9.34169,16.6233
9.34169,16.6404
9.34169,16.6564
9.34169,16.6739
9.34169,16.6896
9.34169,16.7064
9.34169,16.7252
9.34169,16.7404
9.34169,16.7567
9.34169,16.774
9.34169,16.7904
9.34169,16.8079
9.34169,16.8232
9.34169,16.8406
9.34169,16.8564
9.34169,16.8734
9.34169,16.8909
9.34169,16.9063
9.34169,16.9247
9.34169,16.9399
9.34169,16.9575
9.34169,16.9733
9.34169,16.9909
9.34169,17.0079
9.34169,17.0233
9.34169,17.0406
9.34169,17.0572
9.34169,17.0738
9.34169,17.0911
9.34169,17.1064
9.34169,17.1232
9.34169,17.1403
9.34169,17.1578
9.34169,17.173
9.34169,17.1903
9.34169,17.2075
9.34169,17.2234
9.34169,17.2399
9.34169,17.2564
9.34169,17.2737
9.34169,17.2917
9.34169,17.3067
9.34169,17.3238
9.38811,17.3397
9.38811,17.3568
9.38811,17.3729
9.38811,17.39
9.38811,17.4074
9.38811,17.4246
9.38811,17.44
9.38811,17.4561
9.38811,17.4736
9.38811,17.4908
9.38811,17.5064
9.38811,17.524
9.38811,17.5395
9.38811,17.5566
9.38811,17.5733
9.38811,17.5906
9.38811,17.6073
9.38811,17.6247
9.38811,17.6412
9.38811,17.657
9.38811,17.6742
9.38811,17.6895
9.38811,17.7075
9.38811,17.7242
9.38811,17.7399
9.38811,17.7567
9.38811,17.7728
9.38811,17.7909
9.38811,17.8085
9.38811,17.8242
9.38811,17.8419
9.38811,17.8564
9.38811,17.874
9.38811,17.8912
9.38811,17.9079
9.38811,17.9242
9.38811,17.9396
9.38811,17.9571
9.38811,17.9728
9.38811,17.9911
9.38811,18.0063
9.38811,18.0236
9.38811,18.0414
9.38811,18.0571
9.38811,18.0728
9.38811,18.0897
9.38811,18.1086
9.38811,18.1237
9.38811,18.14
9.38811,18.1573
9.38811,18.1734
9.38811,18.1912
9.38811,18.2064
9.38811,18.224
9.38811,18.2401
9.38811,18.2572
9.38811,18.2736
9.38811,18.29
9.38811,18.3072
9.38811,18.3246
9.38811,18.3403
9.38811,18.3572
9.38811,18.3745
9.38811,18.39
9.38811,18.4062
9.38811,18.4253
9.38811,18.4407
9.38811,18.4586
9.38811,18.4741
9.38811,18.4902
9.38811,18.5078
9.38811,18.5243
9.38811,18.5398
9.38811,18.5562
9.38811,18.5739
9.38811,18.5921
9.38811,18.6075
9.38811,18.6229
9.38811,18.6397
9.38811,18.6586
9.38811,18.6741
9.38811,18.69
9.38811,18.7073
9.38811,18.7248
9.38811,18.7414
9.38811,18.7565
9.38811,18.7744
9.38811,18.7898
9.38811,18.8077
9.38811,18.8235
9.38811,18.8398
9.38811,18.8576
9.38811,18.8731
9.38811,18.8902
9.38811,18.9074
9.38811,18.9231
9.38811,18.941
9.38811,18.9571
9.38811,18.9734
9.38811,18.9896
9.38811,19.0072
9.38811,19.0235
9.38811,19.042
9.38811,19.0569
9.38811,19.074
9.38811,19.0912
9.38811,19.1069
9.38811,19.1231
9.38811,19.1403
9.38811,19.1562
9.38811,19.1738
9.38811,19.1904
9.38811,19.2066
9.38811,19.2243
9.38811,19.2398
9.38811,19.257
9.38811,19.274
9.38811,19.2903
9.38811,19.3078
9.38811,19.3242
9.38811,19.3396
9.38811,19.3575
9.38811,19.3733
9.38811,19.3921
9.38811,19.4065
9.38811,19.4256
9.38811,19.441
9.38811,19.4578
9.38811,19.4734
9.38811,19.4907
9.21094,19.5071
9.21094,19.5246
9.21094,19.5402
9.21094,19.5577
9.21094,19.5739
9.21094,19.5899
9.21094,19.6078
9.21094,19.6243
9.21094,19.6408
9.21094,19.6571
9.21094,19.6731
9.21094,19.6905
9.21094,19.7064
9.21094,19.7235
9.21094,19.7403
9.21094,19.7578
9.21094,19.7737
9.21094,19.7896
9.21094,19.8076
9.21094,19.8231
9.21094,19.8406
9.21094,19.857
9.21094,19.8747
9.21094,19.8906
9.21094,19.9068
9.21094,19.9242
9.21094,19.9402
9.21094,19.9568
9.21094,19.9743
9.21094,19.9914
9.21094,20.0072
9.21094,20.0241
9.21094,20.04
9.21094,20.0564
9.21094,20.0752
9.21094,20.0898
9.21094,20.1073
9.21094,20.1252
9.21094,20.1399
9.21094,20.1571
9.21094,20.174
9.21094,20.1902
9.21094,20.2068
9.21094,20.2234
9.21094,20.2406
9.21094,20.2585
9.21094,20.2736
9.21094,20.2917
9.21094,20.3082
9.21094,20.3244
9.21094,20.3396
9.21094,20.3564
9.21094,20.373
9.21094,20.391
9.21094,20.4069
9.21094,20.4238
9.21094,20.4397
9.21094,20.4568
9.21094,20.4741
9.21094,20.4919
9.21094,20.5063
9.21094,20.5239
9.21094,20.5409
9.21094,20.5585
9.21094,20.5741
9.21094,20.5918
9.21094,20.6067
9.21094,20.6246
9.21094,20.64
9.21094,20.6568
9.21094,20.6733
9.21094,20.6911
9.21094,20.7066
9.21094,20.7229
9.21094,20.7408
9.21094,20.7581
9.21094,20.7733
9.21094,20.7912
9.21094,20.8068
9.21094,20.8251
9.21094,20.8398
9.21094,20.8581
9.21094,20.8734
9.21094,20.8898
9.21094,20.9074
9.21094,20.9238
9.21094,20.9404
9.21094,20.9576
9.21094,20.9729
9.21094,20.991
9.21094,21.0078
9.21094,21.0231
9.21094,21.0403
9.21094,21.0602
9.21094,21.0745
9.21094,21.0907
9.21094,21.1077
9.21094,21.1247
9.21094,21.1399
9.21094,21.1562
9.21094,21.1731
9.21094,21.1902
9.21094,21.2074
9.21094,21.2248
9.21094,21.2404
9.21094,21.2581
9.21094,21.2733
9.21094,21.2914
9.21094,21.3069
9.21094,21.3239
9.21094,21.3396
9.21094,21.3563
9.21094,21.3747
9.21094,21.3919
9.21094,21.4069
9.21094,21.4247
9.21094,21.4398
9.21094,21.4569
9.21094,21.473
9.21094,21.4898
9.21094,21.5079
9.21094,21.5232
9.21094,21.5407
9.21094,21.5582
9.21094,21.5729
9.21094,21.591
9.21094,21.6079
9.21094,21.6244
9.21094,21.6411
9.21094,21.6565
9.21094,21.6739
9.15714,21.6902
9.15714,21.7077
9.15714,21.7229
9.15714,21.74
9.15714,21.758
9.15714,21.7736
9.15714,21.7903
9.15714,21.8067
9.15714,21.8236
9.15714,21.8397
9.15714,21.8582
9.15714,21.8732
9.15714,21.8916
9.15714,21.9072
9.15714,21.9239
9.15714,21.9411
9.15714,21.9565
9.15714,21.9736
9.15714,21.9915
9.15714,22.0064
9.15714,22.0254
9.15714,22.0401
9.15714,22.0572
9.15714,22.0752
9.15714,22.0905
9.15714,22.1076
9.15714,22.1233
9.15714,22.1401
9.15714,22.1564
9.15714,22.1747
9.15714,22.1898
9.15714,22.2081
9.15714,22.2236
9.15714,22.2404
9.15714,22.2575
9.15714,22.2749
9.15714,22.2902
9.15714,22.3073
9.15714,22.3231
9.15714,22.3409
9.15714,22.3581
9.15714,22.3731
9.15714,22.3904
9.15714,22.4078
9.15714,22.4232
9.15714,22.44
9.15714,22.4578
9.15714,22.4729
9.15714,22.4905
9.15714,22.5068
9.15714,22.5232
9.15714,22.5411
9.15714,22.5578
9.15714,22.573
9.15714,22.5905
9.15714,22.6079
9.15714,22.6231
9.15714,22.6402
9.15714,22.6563
9.15714,22.6733
9.15714,22.6904
9.15714,22.7081
9.15714,22.7235
9.15714,22.7415
9.15714,22.7586
9.15714,22.7745
9.15714,22.7915
